name,population,pai,sample_city,sample_zip_code,saws_name,cbo_account,primary_phone_number
Los Angeles,"10,116,705",0.53,Los Angeles,,leader,,310-258-7400
San Diego,"3,263,431",0.476,San Diego,92121,mbcw,yes,866-262-9881
Orange,"3,145,515",0.486,Newport Beach,92658,mbcw,,714-541-4895
Riverside,"2,329,271",0.615,,,c4,,951-358-3000
San Bernardino,"2,112,619",0.807,,,c4,,909-388-0245
Santa Clara,"1,894,605",0.475,San Jose,95113,mbcw,,877-962-3633
Alameda,"1,610,921",0.566,Oakland,94604,mbcw,,888-999-4772
Sacramento,"1,482,026",0.721,Sacramento,94229,mbcw,,916-874-3100
Contra Costa,"1,111,339",0.485,Richmond,94802,mbcw,yes,866-663-3225
Fresno,"965,974",0.785,Fresno,93704,mbcw,,877-600-1377
Kern,"874,589",0.623,,,c4,,877-410-8812
San Francisco,"852,469",0.417,San Francisco,94103,mbcw,yes,855-355-5757
Ventura,"846,178",0.581,Ventura,93002,mbcw,,888-472-4463
San Mateo,"758,581",0.392,San Mateo,94402,mbcw,,800-223-8383
San Joaquin,"715,597",0.754,,,c4,,209-468-1000
Stanislaus,"531,997",0.728,,,c4,,877-652-0734
Sonoma,"500,292",0.477,Sonoma,95476,mbcw,yes,707-565-2715
Tulare,"458,198",0.795,Visalia,93278,mbcw,,800-540-6880
Santa Barbara,"440,668",0.387,Santa Barbara,93108,mbcw,,805-681-4401
Monterey,"431,344",0.529,,,c4,,877-410-8823
Solano,"431,131",0.669,Fairfield,94534,mbcw,yes,800-400-6001
Placer,"371,694",0.445,Auburn,95603,mbcw,yes,530-889-7610
San Luis Obispo,"279,083",0.4,San Luis Obispo,93403,mbcw,,805-781-1600
Santa Cruz,"271,804",0.496,Santa Cruz,95061,mbcw,,888-421-8080
Merced,"266,353",0.72,,,c4,,877-410-8820
Marin,"260,750",0.382,,,c4,,415-473-3400
Butte,"224,241",0.582,,,c4,,530-879-3845
Yolo,"207,590",0.387,Davis,95617,mbcw,,855-278-1594
El Dorado,"183,087",0.585,,,c4,,530-642-7300
Shasta,"179,804",0.662,,,c4,,877-652-0731
Imperial,"179,091",0.771,,,c4,,760-337-6800
Madera,"154,548",0.661,,,c4,,559-675-2300
Kings,"150,269",0.68,,,c4,,559-582-3241
Napa,"141,667",0.365,,,c4,,707-253-4511
Humboldt,"134,809",0.537,,,c4,,877-410-8809
Nevada,"98,893",0.513,,,c4,,530-265-1340
Sutter,"95,847",0.582,,,c4,,877-652-0735
Mendocino,"87,869",0.683,,,c4,,707-962-1000
Yuba,"73,966",0.715,,,c4,,877-652-0739
Lake,"64,184",0.585,,,c4,,707-995-4200
Tehama,"63,067",0.646,,,c4,,877-652-0736
San Benito,"58,267",0.658,,,c4,,831-636-4180
Tuolumne,"53,831",0.527,,,c4,,209-533-5711
Calaveras,"44,624",0.809,,,c4,,209-754-6448
Siskiyou,"43,628",0.66,,,c4,,800-662-7031
Amador,"36,742",0.652,,,c4,,209-223-6550
Lassen,"31,749",0.691,,,c4,,530-251-8152
Glenn,"27,955",0.526,,,c4,,530-865-6130
Del Norte,"27,212",0.921,,,c4,,707-464-3191
Colusa,"21,419",0.42,,,c4,,530-458-0250
Plumas,"18,606",0.46,,,c4,,530-283-6350
Inyo,"18,410",0.686,,,c4,,760-872-1394
Mariposa,"17,682",0.59,,,c4,,209-966-2000
Mono,"13,997",0.301,,,c4,,760-924-1770
Trinity,"13,170",0.489,,,c4,,530-623-1265
Modoc,"9,023",0.371,,,c4,,530-233-6501
Sierra,"3,003",0.454,,,c4,,530-993-6722
Alpine,"1,116",0.718,,,c4,,530-694-2235
